eSLDB code	Original Database Code	SwissProt entry	SwissProt homologue	Prediction
CE000000073	T21H3.1a	None	None	None
CE000002973	F42G9.2	None	CYP5_CAEEL	Cytoplasm
CE000025628	C17H11.5	None	None	Secretory
CE000023361	W02B8.4	None	None	Secretory
CE000016153	W08D2.4	None	None	Transmembrane
CE000006867	F11A5.12	None	DCXR_MESAU	Transmembrane
CE000023769	Y54E2A.6	None	HELC1_HUMAN	Cytoplasm
CE000023769	Y54E2A.6	None	U520_HUMAN	Cytoplasm
CE000020873	T19E7.2b	None	SKN1_CAEEL	Cytoplasm
CE000015360	Y48B6A.11	JHD3_CAEEL	JHD3A_HUMAN	Mitochondrion
CE000023373	Y48E1B.13b	None	CASP3_CRILO	Nucleus
CE000001704	Y22D7AL.9	None	OGT1_CAEEL	Secretory
CE000023977	C11H1.3	None	NEUL1_HUMAN	Nucleus
CE000012112	ZC443.4	None	None	Secretory
CE000001427	C50D2.5	PM14_CAEEL	RNPC2_HUMAN	Transmembrane
CE000013930	B0336.11a	None	VAPA_HUMAN	Cytoplasm
CE000007763	ZK795.4	None	SYB_DROME	Transmembrane
CE000014129	Y61A9LA.7	None	None	Secretory
CE000020353	R02D5.1	None	None	Cytoplasm
CE000012164	Y73F8A.20	None	None	Cytoplasm
CE000005807	F59E11.2	None	DHB4_HUMAN	Secretory
CE000012716	Y50E8A.2	None	None	Cytoplasm
CE000023563	R13D11.1	None	None	Transmembrane
CE000005482	T09D3.4	None	USP_MANSE	Nucleus
CE000001042	B0244.11	None	None	Transmembrane
CE000023282	Y113G7A.16	None	None	Secretory
CE000016466	Y71G12B.1b.1	None	CAF1B_HUMAN	Cytoplasm
CE000016465	Y71G12B.1b.2	None	CAF1B_HUMAN	Mitochondrion
CE000015178	K09H9.3	None	CO6A2_HUMAN	Cytoplasm
CE000022454	CC4.2	None	ORCKA_PROCL	Nucleus
CE000018970	F38A1.13	None	None	Cytoplasm
CE000010306	F35H10.10	None	CASR_MOUSE	Transmembrane
CE000010306	F35H10.10	None	CASR_HUMAN	Transmembrane
CE000025425	Y43D4A.4	None	FLVC2_HUMAN	Transmembrane
CE000018286	M02H5.10	None	None	Transmembrane
CE000020845	Y48G1A.1	None	None	Secretory
CE000020706	H13N06.5	KE4L_CAEEL	FOI_DROME	Transmembrane
CE000001705	Y22D7AL.6	None	None	Cytoplasm
CE000017740	R90.4	None	UP04_CAEEL	Cytoplasm
CE000016679	F48E8.5.4	None	None	None
CE000016678	F48E8.5.2	None	None	Cytoplasm
CE000016676	F48E8.5.1	None	None	Cytoplasm
CE000016677	F48E8.5.3	None	None	Secretory
CE000015905	F52G3.1	None	BAT2_HUMAN	Cytoplasm
CE000005030	C54G4.5	None	None	Transmembrane
CE000003938	F32A6.5	None	STOM_HUMAN	Transmembrane
CE000019978	M04D8.8	None	None	Transmembrane
CE000002893	F58G4.1	None	MYH7_MESAU	Nucleus
CE000002893	F58G4.1	None	MYO3_CAEEL	Nucleus
CE000002893	F58G4.1	None	MYSS_CYPCA	Nucleus
CE000002893	F58G4.1	None	MYH7_PIG	Nucleus
CE000002893	F58G4.1	None	MYH3_RAT	Nucleus
CE000002893	F58G4.1	None	MYH4_RABIT	Nucleus
CE000002893	F58G4.1	None	MYH6_HUMAN	Nucleus
CE000002893	F58G4.1	None	MYH1_HUMAN	Nucleus
CE000002893	F58G4.1	None	MYH3_HUMAN	Nucleus
CE000002893	F58G4.1	None	MYH4_RAT	Nucleus
CE000002893	F58G4.1	None	MYO1_CAEEL	Nucleus
CE000002893	F58G4.1	None	MYH11_CHICK	Nucleus
CE000002893	F58G4.1	None	MYH3_CHICK	Nucleus
CE000002893	F58G4.1	None	MYH4_MOUSE	Nucleus
CE000002893	F58G4.1	None	MYSA_DROME	Nucleus
CE000002893	F58G4.1	None	MYH7_RAT	Nucleus
CE000002893	F58G4.1	None	MYH11_RABIT	Nucleus
CE000002893	F58G4.1	None	MYS_AEQIR	Nucleus
CE000002893	F58G4.1	None	MYH11_MOUSE	Nucleus
CE000002893	F58G4.1	None	MYH2_HUMAN	Nucleus
CE000002893	F58G4.1	None	MYO4_CAEEL	Nucleus
CE000002893	F58G4.1	None	MYH6_MOUSE	Nucleus
CE000002893	F58G4.1	None	MYSS_CHICK	Nucleus
CE000002893	F58G4.1	None	MYH7_HUMAN	Nucleus
CE000002893	F58G4.1	None	MYH8_HUMAN	Nucleus
CE000002893	F58G4.1	None	MYH6_MESAU	Nucleus
